Registros com >40h semanais ordenados por workclass:

?               | Bachelors       | 45h/semana
Self-emp-inc    | Assoc-acdm      | 48h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Assoc-voc       | 55h/semana
Self-emp-inc    | Masters         | 65h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | Doctorate       | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Doctorate       | 55h/semana
Self-emp-inc    | Doctorate       | 99h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Bachelors       | 65h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Bachelors       | 80h/semana
Self-emp-inc    | 12th            | 98h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Assoc-voc       | 60h/semana
Self-emp-inc    | Bachelors       | 52h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | 11th            | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 80h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Bachelors       | 70h/semana
Self-emp-inc    | 9th             | 45h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 54h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | Assoc-voc       | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 65h/semana
Self-emp-inc    | Bachelors       | 51h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Masters         | 80h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Masters         | 55h/semana
Self-emp-inc    | Bachelors       | 80h/semana
Self-emp-inc    | Assoc-acdm      | 67h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Assoc-voc       | 60h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | 5th-6th         | 50h/semana
Self-emp-inc    | Bachelors       | 70h/semana
Self-emp-inc    | HS-grad         | 65h/semana
Self-emp-inc    | Masters         | 55h/semana
Self-emp-inc    | Bachelors       | 43h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 78h/semana
Self-emp-inc    | Prof-school     | 55h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Assoc-voc       | 55h/semana
Self-emp-inc    | HS-grad         | 72h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | Some-college    | 75h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | 1st-4th         | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | 10th            | 80h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 52h/semana
Self-emp-inc    | Bachelors       | 70h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | Doctorate       | 77h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 70h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Some-college    | 75h/semana
Self-emp-inc    | 7th-8th         | 50h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | Masters         | 70h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 65h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 48h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Assoc-acdm      | 70h/semana
Self-emp-inc    | Some-college    | 70h/semana
Self-emp-inc    | Some-college    | 65h/semana
Self-emp-inc    | Assoc-voc       | 84h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Some-college    | 99h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | Some-college    | 70h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | Some-college    | 55h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Masters         | 42h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Doctorate       | 70h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Masters         | 99h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | 12th            | 45h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Assoc-voc       | 54h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 72h/semana
Self-emp-inc    | HS-grad         | 62h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Assoc-voc       | 60h/semana
Self-emp-inc    | Bachelors       | 65h/semana
Self-emp-inc    | Bachelors       | 52h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | 11th            | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Some-college    | 55h/semana
Self-emp-inc    | Some-college    | 91h/semana
Self-emp-inc    | 9th             | 99h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Bachelors       | 80h/semana
Self-emp-inc    | Doctorate       | 60h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Doctorate       | 60h/semana
Self-emp-inc    | Some-college    | 65h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Assoc-voc       | 60h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | HS-grad         | 80h/semana
Self-emp-inc    | HS-grad         | 48h/semana
Self-emp-inc    | Doctorate       | 70h/semana
Self-emp-inc    | Some-college    | 55h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | HS-grad         | 70h/semana
Self-emp-inc    | 7th-8th         | 63h/semana
Self-emp-inc    | Assoc-acdm      | 60h/semana
Self-emp-inc    | Doctorate       | 70h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Some-college    | 45h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | HS-grad         | 48h/semana
Self-emp-inc    | 7th-8th         | 60h/semana
Self-emp-inc    | Masters         | 80h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Some-college    | 90h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Prof-school     | 75h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | HS-grad         | 80h/semana
Self-emp-inc    | Some-college    | 48h/semana
Self-emp-inc    | HS-grad         | 98h/semana
Self-emp-inc    | Assoc-voc       | 60h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Assoc-voc       | 50h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Prof-school     | 50h/semana
Self-emp-inc    | Some-college    | 65h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | HS-grad         | 50h/semana
Self-emp-inc    | Bachelors       | 70h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Some-college    | 65h/semana
Self-emp-inc    | Assoc-acdm      | 50h/semana
Self-emp-inc    | HS-grad         | 60h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | 10th            | 50h/semana
Self-emp-inc    | Bachelors       | 55h/semana
Self-emp-inc    | Masters         | 80h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Masters         | 60h/semana
Self-emp-inc    | Bachelors       | 45h/semana
Self-emp-inc    | Some-college    | 70h/semana
Self-emp-inc    | Some-college    | 60h/semana
Self-emp-inc    | Bachelors       | 70h/semana
Self-emp-inc    | Some-college    | 50h/semana
Self-emp-inc    | Bachelors       | 50h/semana
Self-emp-inc    | Prof-school     | 60h/semana
Self-emp-inc    | Assoc-voc       | 60h/semana
Self-emp-inc    | HS-grad         | 45h/semana
Self-emp-inc    | HS-grad         | 55h/semana
Self-emp-inc    | HS-grad         | 48h/semana
Self-emp-inc    | Bachelors       | 60h/semana
Self-emp-inc    | Some-college    | 72h/semana
Self-emp-inc    | Masters         | 50h/semana
Self-emp-inc    | HS-grad         | 96h/semana
